宜昌物业管理人员,4.5-6千
仓库人员,4-6千
万能工/物业工程人员,6-7千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
国际项目管理（留学归国人员）,1-1.8万
保安人员（五险一金，包住宿）,4.5-5.1千
养护带班人员,5-6.5千
高铁工作人员/五险一金/管吃住,6-8千
快配仓人员,5-7千
列车工作人员/五险一金/上几休几,6-8千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
快配仓人员,5-7千
保洁人员,3-4千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
列车服务人员/五险一金/上几休几,6-8千
大厅工作人员,4-5千
养护带班人员,5-6.5千
高铁工作人员/五险一金/包吃住,6-8千
列车服务人员/五险一金/上几休几,6-8千
仓库辅助人员（南沙东涌）,4.5-6.5千
养护带班人员,5-6.5千
高速服务区加油站站长,7-9千
地铁安检人员/五险一金/上几休几,6-8千
招标代理部经理、招标代理专职人员,5千-1万
养护带班人员,5-6.5千
医疗点工作人员（鸣）,4-6千
列车工作人员/五险一金/上几休几,6-8千
工程招投标人员,4-8千
养护带班人员,5-6.5千
后勤管理岗,4-5千
地铁安检人员/五险一金/上几休几,6-8千
寻 工程类中/高级职称 技术人员,4.5-8.5千
养护带班人员,5-6.5千
地铁安检人员/五险一金/上几休几,6-8千
人员管理岗（世界500强-省分公司）,8.5千-1万·14薪
绿化养护人员,3.8-4.4千
养护带班人员,5-6.5千
地铁安检人员/五险一金/上几休几,6-8千
中控值班人员,4.5-5千·13薪
钢检人员,5.5-6千·13薪
养护带班人员,5-6.5千
地铁安检人员/五险一金/上几休几,6-8千
人员管理岗(J16288),6-8千·15薪
涉外财务管理岗位人员,7千-1万·13薪
数字经济研究中心研究人员招聘启事,30-60万/年
企业策划人员（top企业外包岗）,6.5-6.9千
生产领班（现场人员管理）,6千-1万·13薪
物业维修人员,3-3.5千
涉外财务管理岗位人员,7千-1万·13薪
人员管理岗（重庆）(J10312),1-2万
金工车间人员,5千-1万
见习人员（课程顾问）,3-5千
市场营销人员,6-9千
国际高等教育中心 项目招生主管及招生工作人员,5千-1万
行政办公室外联人员,3-4千
万能工/物业工程人员,6-7千
企业策划人员（top企业外包岗）,6.5-6.9千
医疗点工作人员（珠）,4-6千
现场管理,7-8千
急招蔬菜固定专送人员月入1W可日结3,7.5千-1万
绿化养护人员,3.8-4.4千
宿管员,5-5.5千
列车服务人员/五险一金/上几休几,6-8千
产研培训教务人员,8千-1.1万
招标代理部经理、招标代理专职人员,5千-1万
现场安全员,1-1.5万·13薪
列车服务人员/五险一金/上几休几,6-8千
现场管理员-广州,5-7千·13薪
人员管理岗（重庆）(J10312),1-2万
项目执行/协调人员,8千-1.2万
列车工作人员/五险一金/上几休几,6-8千
农业科学实验人员,5-6千
大厅工作人员,4-5千
项目执行/协调人员,8千-1.2万
生产稽查专员,6-8千
养护安全巡查员,5-7千
地铁安检人员/五险一金/上几休几,6-8千
项目执行/协调人员,8千-1.2万
投标管理及方案编制人员,5-8千
现场管理,7-8千
列车工作人员/五险一金/上几休几,6-8千
项目执行/协调人员,8千-1.2万
事业中心发展,1.7-2.7万
生产领班（现场人员管理）,6千-1万·13薪
地铁安检人员/五险一金/上几休几,6-8千
涉外财务管理岗人员,7千-1万·13薪
人员管理岗（重庆）(J10312),1-2万
服务人员（含售票员、验票员）鸣,3.5-4千
列车服务人员/五险一金/上几休几,6-8千
涉外财务管理岗位人员,7千-1万·13薪
现场管理员-广州,5-7千·13薪
现场安全员,1-1.5万·13薪
储备部门/项目负责人,6-7千·13薪
建筑垃圾分类站管理,1-1.2万
涉外财务管理岗位人员,7千-1万·13薪
会展会务人员,6-7千·13薪
行政专员（安全管理方向）—久事演艺,8-10万/年
储备计划部安全监管岗,10.5-14万/年
可研项目编制人员,6-9千
现场专员,7.5-12万/年
涉外财务管理岗位人员,7千-1万·13薪
后勤安全管理,8-12万/年
加油站管理（后备）,7-9万/年
中控值班人员,4.5-5千·13薪
涉外财务管理岗位人员,7千-1万·13薪
投标管理及方案编制人员,5-8千
工程预算人员,8千-1.2万
医护人员,3-4.5千
钢检人员,5.5-6千·13薪
诚聘 销售人员,6千-1.2万
列车工作人员/五险一金/上几休几,6-8千
人员管理岗（上海）(J10308),1-2万
工程预算人员,8千-1.2万
保洁和安保人员,3.5-3.8千
财务人员,6千-1万
地铁安检人员/五险一金/上几休几,6-8千
可研项目编制人员,6-9千
湖北仙桃市县答疑人员—日语老师,5-9千
储备人员、管理培训生,4-8千
列车工作人员/五险一金/上几休几,6-8千
通信监理人员,4-6千
湖北十堰市县答疑人员—日语老师,5-8千
保洁人员（宁波东钱湖）,3.7-4.2千
会计专员（退休人员）,8千-1万
通信监理人员,4-6千
湖北荆州答疑人员—日语老师,5-8千
项目执行/协调人员,8千-1.2万
办公室行政人员(J10436),4-6千
酒店招聘前厅人员双休包吃住,3-4千
营销业务杭州本部 人员管理岗,7-10万
项目执行/协调人员,8千-1.2万
中级消防员（安保人员）,4.4-5.8千
见习人员（课程顾问）,3-5千
SNYZ-管理员（广东）,6-9千
酒店工作人员,5-8千
FMBK-一线销售人员（香氛设计师）- 广州 ID119421,8千-1.2万
通信监理人员,4-6千
SNYZ-管理员（广东）,6-9千
办公室行政人员(J10436),4-6千
物流出纳（祝桥）退休人员,5-7千·13薪
保洁人员,2.2-4千
财务人员,3.2-4.5千
实验动物饲养管理储备人员,6-8千·13薪
高端养老院急需护理人员20名（男女不限）月薪5000起步,5-8千
项目行政支持人员,8-8.5千·13薪
大厅工作人员,4-5千
业务人员,5-6千
通信监理人员,4-6千
现场监理人员,2.5-5千
1，后勤管理,6-7千
金工车间人员,5千-1万
弱电维保人员,5-8千·13薪
工程人员,4.5-5千
劳动力管理员,6-8千
大厅工作人员,3-5千
列车工作人员/五险一金/上几休几,6-8千
巡查专员,7千-1万
人员管理岗,5-8千
（低空经济）信息化运维人员,1.2-2万
物业维修人员,3-3.5千
寻 工程类中/高级职称 技术人员,4.5-8.5千
现场管理,7-9千
列车服务人员/五险一金/上几休几,6-8千
秘书人员,6-8千
寻 工程类中/高级职称 技术人员,4.5-8.5千
造价咨询人员/经理,6千-1.2万
列车服务人员/五险一金/上几休几,6-8千
招生宣传人员,6-9千
加油站经理（辽宁沈阳）,6千-1.2万
酒店招聘前厅人员双休包吃住,3-4千
列车服务人员/五险一金/上几休几,6-8千
财务人员,6千-1万
行政人员,8千-1万
退伍军人专岗-技术储干（包吃包住）,9-9.8千
列车工作人员/五险一金/上几休几,6-8千
生产管理开发人员,5-7千
财务人员,6千-1万
结构设计人员,8千-1.2万
列车服务人员/五险一金/上几休几,6-8千
安保服务部经理助理,7.3千-1万
后勤技术员,6-8千·13薪
绿化养护人员,3千及以下
列车服务人员/五险一金/上几休几,6-8千
中级消防员（安保人员）,4.4-5.8千
财务人员,7千-1万
妇幼中心办公室人员,2-4千
列车工作人员/五险一金/上几休几,6-8千
医美护理人员,6-7千·13薪
保洁人员,3-4千
保安人员,4.5-6千
列车工作人员/五险一金/上几休几,6-8千
招聘专员（管理技术人员）,6-8千
地铁安检人员215元/天,4.5-5.5千
保安人员,4.5-5.5千
列车服务人员/五险一金/上几休几,6-8千
医疗器械法规人员,1.5-3万
可行性研究编制人员,5-8千
营销业务杭州本部 人员管理岗,7-10万
列车服务人员/五险一金/上几休几,6-8千
政府行政辅助人员（呈贡区）,3千及以下
社区医疗服务人员,4-6千
法务人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
荣耀项目安全助理,7-8千
雏鹰计划（管理储备）人员,4.5-9千·13薪
短视频运营制作人员,7千-1.2万
列车服务人员/五险一金/上几休几,6-8千
资深招聘专员（负责公司内部人员招聘）,7千-1万
无人机管理及应用研发人员,5-8.5千
校园安全管理（消防工作人员）,5千-1万
列车服务人员/五险一金/上几休几,6-8千
小区保安（仅退休人员）,3千及以下
检票人员,3-4千
保洁人员（科技城）,3千及以下
列车服务人员/五险一金/上几休几,6-8千
管道巡护项目助理,5-5.5千
巡查员,5.2-5.5千
国企业务主管（管环卫或市集）,6-8千
列车服务人员/五险一金/上几休几,6-8千
医院办公室工作人员,6-7千
物业维修人员,3-3.5千
动物实验室管理技术人员,8千-1.2万
列车工作人员/五险一金/上几休几,6-8千
管理员,7千-1.4万
高铁工作人员,6-8千
加油站站经理,1-1.5万
列车服务人员/五险一金/上几休几,6-8千
保洁人员,3-4.5千
案场服务人员,6-7千·13薪
湖北仙桃市县答疑人员—日语老师,5-9千
列车服务人员/五险一金/上几休几,6-8千
综合服务人员,4-5千
（日结）多个景点通用门票卡兼职销售人员,300元/天
技术工程师 技术人员,4.5-6千
地铁安检人员/五险一金/上几休几,6-8千
新营销业务部人员管理岗,1-1.2万
部门助理-9个月岗位（冰柜管理第三方人员）,4-7千
红绿灯电警维护人员（清城、佛冈）,4-6千
列车服务人员/五险一金/上几休几,6-8千
驻厂管理员6000+,5.6-7千
行销推广（终端人员管理）,1-1.5万·14薪
雏鹰计划（管理储备）人员,4.5-9千·13薪
列车工作人员/五险一金/上几休几,6-8千
兼职市场人员,2-3万
会议服务工作人员,4.5-5千·13薪
厨房工作人员,3千及以下
列车工作人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
医院办公室工作人员,6-7千
工程维修人员,4-5千
列车服务人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
短视频运营人员,4-8千
物业维修人员,5-5.5千
地铁安检人员/五险一金/上几休几,6-8千
安装造价人员,6-9千
道路设计人员,1-2万
物业维修人员,4-5千
列车服务人员/五险一金/上几休几,6-8千
五华妇幼中心护理人员,2-4千
项目管理储备人员,2.5-5千
保安人员,3.8-4.2千
列车工作人员/五险一金/上几休几,6-8千
加油站经理（浦东）,6千-1.2万
广东俄语答疑人员（俄语老师）,8千-1.5万
做饭人员,6-8千
列车工作人员/五险一金/上几休几,6-8千
招标辅助人员（电力）,6-9千
（日结）多个景点通用门票卡兼职销售人员,300元/天
事业中心管理岗,2.6-3.8万
列车服务人员/五险一金/上几休几,6-8千
银行专项分期人员（五华区）,2.5-5千
保安人员,2.8-3.5千
二次元自营品牌销售人员,3.5-5千
列车工作人员/五险一金/上几休几,6-8千
场务服务人员（兼职）,200元/天
曲靖市县答疑人员—日语老师,5-8千
物业保洁组人员,3-3.7千
列车工作人员/五险一金/上几休几,6-8千
计算机专业人员,6-9千
湖北咸宁市县答疑人员—日语老师,5-8千
国有银行辅助人员（瑞丽市区）,3-6千
列车工作人员/五险一金/上几休几,6-8千
工程人员,5-8千
广西崇左答疑人员——日语老师,5-8千
造价人员,3-5千
列车工作人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
九江市县答疑人员—日语老师,5-8千
财务人员1名,4-5千
列车工作人员/五险一金/上几休几,6-8千
秩序维护人员招聘180元/天,4-6千
档案管理技术人员,1.6-2万
医院保卫科工作人员,6-7千
SNYZ-管理员（广东）,6-9千
线路土建设计人员,1-2万
物业维修人员,4.5-6千
绿化养护人员,7.9-8千
SNYZ-管理员（广东）,6-9千
保洁人员,4.5-4.6千
5S管理员,5-8千
物业维修人员,5-6千
SNYZ-管理员（广东）,6-9千
场务服务人员（兼职）,200元/天
部门助理-9个月岗位（冰柜管理第三方人员）,4-7千
寻 工程类中/高级职称 技术人员,4.5-8.5千
SNYZ-管理员（广东）,6-9千
列车工作人员/五险一金/上几休几,6-8千
江阴物流现场人员,4-5.5千·13薪
寻 工程类中/高级职称 技术人员,4.5-8.5千
SNYZ-管理员（广东）,6-9千
列车工作人员/五险一金/上几休几,6-8千
监控室值班人员（荔农）,5.5-6.5千
地铁安检人员/五险一金/上几休几,6-8千
红绿灯电警维护人员（清城、佛冈）,4-6千
SNYZ-管理员（广东）,6-9千
工程维修人员,4-5千
地铁安检人员/五险一金/上几休几,6-8千
后勤岗,6-8千
SNYZ-管理员（广东）,6-9千
保安人员,4-4.5千·13薪
列车服务人员/五险一金/上几休几,6-8千
消防控制室安保人员,4-5千
保安人员,4-6千
业务巡查专员（重庆）,8千-1万
列车工作人员/五险一金/上几休几,6-8千
劳务派遣主管,7-9千
现场管理班长（湖北）,5.5千-1.1万
新营销业务部人员管理岗,1-1.2万
列车工作人员/五险一金/上几休几,6-8千
事业中心管理岗,2.6-3.8万
巡查专员 稽查 督查,6千-1万
秩序维护人员招聘180元/天,4-6千
列车服务人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
计算机专业人员,6-9千
部门协助,1.8-2.7万
列车服务人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
保洁后勤人员,3.6-3.8千
后勤管理岗,5-6千
列车服务人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
安全管理专员,8千-1万
现场管理,4.5-5.5千
列车工作人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
售前技术人员,8千-1.6万
国联人寿淮安分公司个险业务部人员管理岗,5-6千
列车工作人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
办公场所管理员（双休）,7-9千
办公场所管理员（双休）,7-9千
后勤管理,8千-1万
后勤专员,9千-1.8万·13薪
列车工作人员/五险一金/上几休几,6-8千
业务巡查专员（重庆）,8千-1万
地面管理员正式工就近安排,9千-1.3万·13薪
造价人员,3-5千
列车服务人员/五险一金/上几休几,6-8千
安全管理专员,8千-1万
新营销业务部人员管理岗,1-1.2万
消防控制室安保人员,4-5千
列车服务人员/五险一金/上几休几,6-8千
宝安区某学校招宿管员,5.3-5.5千
加油站经理（陕西西安）,6千-1.2万
工程人员,5-8千
列车服务人员/五险一金/上几休几,6-8千
轨道巡视值班员做二休二,8千-1.2万·16薪
国联人寿淮安分公司个险业务部人员管理岗,5-6千
红绿灯电警维护人员（清城、佛冈）,4-6千
列车服务人员/五险一金/上几休几,6-8千
湖南俄语答疑人员（俄语老师）,8千-1.5万
列车服务人员/五险一金/上几休几,6-8千
高铁工作人员,6-8千
轨道巡视值班员做二休二,8千-1.2万·16薪
甘肃俄语答疑人员（俄语老师）,1-1.5万
列车服务人员/五险一金/上几休几,6-8千
高铁工作人员,6-8千
工程人员（汉街，五险一金包吃住三餐）,3-4.5千
宝安区某学校招宿管员,5.3-5.5千
列车工作人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
研发人员(162943) 日语必须,1.2-2万
龙华教育服务安全管理员,5-5.5千
列车服务人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
现场管理,4-7千·13薪
俄语答疑人员（俄语老师）,8千-1.5万
列车服务人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
后勤主管,8-9千·13薪
银行专项人员（大理）,2.5-4.5千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
导办工作人员,3-3.5千
动物实验室管理技术人员,8千-1.2万
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
招标代理从业人员,7.2-10.8万/年
保洁人员,3.2-3.5千
后勤主管,8-9千·13薪
列车服务人员/五险一金/上几休几,6-8千
后勤,6-8千
档案管理技术人员,1.6-2万
驻厂管理/保底8K,7-8.5千·13薪
列车服务人员/五险一金/上几休几,6-8千
后勤专员,5-7千
高速服务区加油站站长,7-9千
后勤助理,5.5-8.5千
列车服务人员/五险一金/上几休几,6-8千
后勤专员,6-6.5千·13薪
宿舍管理员,6-7千
养护安全巡查员,5-7千
列车服务人员/五险一金/上几休几,6-8千
后勤岗,6-8千
管理员,1-1.1万
总务专员,6-8千·13薪
列车服务人员/五险一金/上几休几,6-8千
事业中心管理岗,2.6-3.8万
售前技术人员,8千-1.6万
资产管理辅助服务人员 （外包岗位）,6-6.5千
列车服务人员/五险一金/上几休几,6-8千
总务专员,6-9千
劳务派遣主管,7-9千
宝安区某学校招宿管员,5.3-5.5千
列车服务人员/五险一金/上几休几,6-8千
后勤专员,4-5千
越南市场开拓人员,5千-1万·13薪
宿舍管理员,5-6千
列车服务人员/五险一金/上几休几,6-8千
编内轨交督导后勤管培生年薪15W,5千-1万·13薪
总务专员,6-8千·13薪
后勤专员,6-6.5千·13薪
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
宇通招聘综合管理岗,5-6.5千
地服巡查督导月15天年薪十万,5千-1万·13薪
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
俄语答疑人员（俄语老师）,8千-1.5万
文职/仓管人员,5-5.5千·13薪
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
广东俄语答疑人员（俄语老师）,8千-1.5万
二次元自营品牌销售人员,3.5-5千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
湖北俄语答疑人员（俄语老师）,8千-1.5万
后勤专员,7-8千
高铁工作人员,6-8千
地铁安检人员/五险一金/上几休几,6-8千
导办工作人员,3-3.5千
巡视岗双休五险一金8000元/月,7.5-8千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
后勤专员,5.5-7.5千
江西上饶小语种俄语答疑人员,8千-1.2万
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
保安人员,2.8-3.5千
后勤兼材料管理,5千-1万
高铁工作人员,6-8千
列车工作人员/五险一金/上几休几,6-8千
仓库管理无需经验7000,6.5-7.5千
抄表员1,4.5-6千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
编内轨交督导后勤管培生年薪15W,5千-1万·13薪
仓库管理月7000可预支,6.5-7.5千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
江西九江小语种俄语答疑人员,8千-1.2万
劳资专管员,5千-1万
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
博士后研究人员,1.2-1.8万
湖北恩施诚聘答疑人员——俄语老师,8千-1.5万
急招双休-部门管理岗,1.5-2.6万·13薪
列车服务人员/五险一金/上几休几,6-8千
产业园招商人员,6-8千
停车场收费人员,3-4千
总务专员,6-9千
列车服务人员/五险一金/上几休几,6-8千
后勤助理,5.5-8.5千
办事员,4-5.5千
佛山顺德驻厂管理员,6-7千
列车服务人员/五险一金/上几休几,6-8千
稽查专员,6-8千
物业维修人员,3.6-4.5千
售前技术人员,8千-1.6万
列车服务人员/五险一金/上几休几,6-8千
